file_html,test_me_inf,instance,R1,R2,over,complex
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",12,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",15,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",16,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",6,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",7,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",8,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",9,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",10,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",11,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",0,1,,,
